Version: Taxi Continuous/Discontinuous v4.1.9723.39829
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 60000
TimeoutDuration: 60000000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 5
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 

 0 0.01522820 0.0000 -10.1059 0.0004
 0 0.06325320 0.0000 -10.1059 0.0004
 0 0.00495860 0.0000 -10.1059 0.0004
 0 0.00799000 0.0000 -10.1059 0.0004
 0 0.01759890 0.0000 -10.1059 0.0004
 0 0.00355710 0.0000 -10.1059 0.0004
 0 0.00557110 0.0000 -10.1059 0.0004
 0 0.01425290 0.0000 -10.1059 0.0004
 0 0.01486290 0.0000 -10.1059 0.0004
 0 0.01823050 0.0000 -10.1059 0.0004
 0 0.01695920 0.0000 -10.1059 0.0004
 84 0.01695920 -12.8900 0.0600 90.0000
 0 0.01695920 -12.8900 0.0600 90.0000
 0 0.02000000 -12.8900 0.0600 90.0000
 0 0.01815880 -12.8900 0.0600 90.0000
 0 0.01385130 -12.8900 0.0600 90.0000
 0 0.01632900 -12.8900 0.0600 90.0000
 0 0.01720540 -12.8900 0.0600 90.0000
 0 0.01705330 -12.8900 0.0600 90.0000
 0 0.01551420 -12.8900 0.0600 90.0000
 0 0.01732770 -12.8900 0.0600 90.0000
 0 0.01957720 -12.8900 0.0600 90.0000
 0 0.01622390 -12.8900 0.0600 90.0000
 0 0.01468280 -12.8900 0.0600 90.0000
 0 0.01841490 -12.8900 0.0600 90.0000
 0 0.01599590 -12.8900 0.0600 90.0000
 0 0.01665730 -12.8900 0.0600 90.0000
 0 0.01583170 -12.8900 0.0600 90.0000
 0 0.01707100 -12.8900 0.0600 90.0000
 0 0.01731090 -12.8900 0.0600 90.0000
 0 0.01634060 -12.8900 0.0600 90.0000
 0 0.01702430 -12.8900 0.0600 90.0000
 0 0.01645050 -12.8900 0.0600 90.0000
 0 0.01695970 -12.8900 0.0600 90.0000
 0 0.01600640 -12.8900 0.0600 90.0000
 0 0.01933410 -12.8900 0.0600 90.0000
 0 0.01609270 -12.8900 0.0600 90.0000
 0 0.01730200 -12.8900 0.0600 90.0000
 0 0.01610750 -12.8900 0.0600 90.0000
 0 0.01659760 -12.8900 0.0600 90.0000
 0 0.01708470 -12.8900 0.0600 90.0000
 0 0.01681280 -12.8900 0.0600 90.0000
 0 0.01628480 -12.8900 0.0600 90.0000
 0 0.01518860 -12.8900 0.0600 90.0000
 0 0.01632860 -12.8900 0.0600 90.0000
 0 0.01726120 -12.8900 0.0600 90.0000
 0 0.01622010 -12.8900 0.0600 90.0000
 0 0.01668900 -12.8900 0.0600 90.0000
 0 0.01657190 -12.8900 0.0600 90.0000
 0 0.01821950 -12.8900 0.0600 90.0000
 0 0.01716370 -12.8900 0.0600 90.0000
 0 0.01614340 -12.8900 0.0600 90.0000
 0 0.01678570 -12.8900 0.0600 90.0000
 0 0.01657230 -12.8900 0.0600 90.0000
 0 0.01848770 -12.8900 0.0600 90.0000
 0 0.01617230 -12.8900 0.0600 90.0000
 0 0.01554890 -12.8900 0.0600 90.0000
 0 0.01623500 -12.8900 0.0600 90.0000
 0 0.01777270 -12.8900 0.0600 90.0000
 0 0.01625520 -12.8900 0.0600 90.0000
 0 0.01606430 -12.8900 0.0600 90.0000
 0 0.01683850 -12.8900 0.0600 90.0000
 0 0.01552670 -12.8900 0.0600 90.0000
 0 0.02364070 -12.8900 0.0600 90.0000
 0 0.00921960 -12.8900 0.0600 90.0000
 11 0.01681240 -12.8900 0.0600 90.0000
 0 0.10122520 -12.8900 0.0600 90.0000
 0 0.01012350 -12.8900 0.0600 90.0000
 0 0.00341170 -12.8900 0.0600 90.0000
 0 0.00282530 -12.8900 0.0600 90.0000
 0 0.00288900 -12.8900 0.0600 90.0000
 0 0.01097270 -12.8900 0.0600 90.0000
 0 0.01642610 -12.8900 0.0600 90.0000
 0 0.01642930 -12.8900 0.0600 90.0000
 0 0.01926170 -12.8900 0.0600 90.0000
 0 0.01443240 -12.8900 0.0600 90.0000
 0 0.02060050 -12.8900 0.0600 90.0000
 0 0.01362940 -12.8900 0.0600 90.0000
 0 0.01719810 -12.8900 0.0600 90.0000
 0 0.01858070 -12.8900 0.0600 90.0000
 0 0.01801900 -12.8900 0.0600 90.0000
 0 0.01711850 -12.8900 0.0600 90.0000
 0 0.01929800 -12.8900 0.0600 90.0000
 0 0.01343420 -12.8900 0.0600 90.0000
 0 0.01791220 -12.8900 0.0600 90.0000
 0 0.01575200 -12.8900 0.0600 90.0000
 0 0.01720810 -12.8900 0.0600 90.0000
 0 0.01573270 -12.8900 0.0600 90.0000
 0 0.03525510 -12.8900 0.0600 90.0000
 0 0.01458460 -12.8900 0.0600 90.0000
 0 0.01416410 -12.8900 0.0600 90.0000
 0 0.01490950 -12.8900 0.0600 90.0000
 0 0.01645820 -12.8900 0.0600 90.0000
 0 0.01658180 -12.8900 0.0600 90.0000
 0 0.01905760 -12.8900 0.0600 90.0000
 0 0.01665570 -12.8900 0.0600 90.0000
 0 0.01419950 -12.8900 0.0600 90.0000
 0 0.01818970 -12.8900 0.0600 90.0000
 0 0.01521430 -12.8900 0.0600 90.0000
 0 0.01752040 -12.8900 0.0600 90.0000
 0 0.01713330 -12.8900 0.0600 90.0000
 0 0.01749760 -12.8900 0.0600 90.0000
 0 0.01870310 -12.8900 0.0600 90.0000
 0 0.01278130 -12.8900 0.0600 90.0000
 0 0.01748260 -12.8900 0.0600 90.0000
 0 0.01846200 -12.8900 0.0600 90.0000
 0 0.01415110 -12.8900 0.0600 90.0000
 0 0.01694560 -12.8900 0.0600 90.0000
 0 0.01705870 -12.8900 0.0600 90.0000
 0 0.01639190 -12.8900 0.0600 90.0000
 0 0.01677900 -12.8900 0.0600 90.0000
 0 0.01573080 -12.8900 0.0600 90.0000
 0 0.01734090 -12.8900 0.0600 90.0000
 0 0.01853130 -12.8900 0.0600 90.0000
 0 0.01623720 -12.8900 0.0600 90.0000
 0 0.01695190 -12.8900 0.0600 90.0000
 0 0.01710950 -12.8900 0.0600 90.0000
 0 0.01693070 -12.8900 0.0600 90.0000
 0 0.01503270 -12.8900 0.0600 90.0000
 0 0.01604260 -12.8900 0.0600 90.0000
 0 0.01668120 -12.8900 0.0600 90.0000
 0 0.01687660 -12.8900 0.0600 90.0000
 0 0.01723690 -12.8900 0.0600 90.0000
 0 0.01717820 -12.8900 0.0600 90.0000
 0 0.01531350 -12.8900 0.0600 90.0000
 0 0.01821660 -12.8900 0.0600 90.0000
 0 0.01613860 -12.8900 0.0600 90.0000
 0 0.01699530 -12.8900 0.0600 90.0000
 0 0.01463940 -12.8900 0.0600 90.0000
 0 0.01476570 -12.8900 0.0600 90.0000
 0 0.01848740 -12.8900 0.0600 90.0000
 0 0.01719560 -12.8900 0.0600 90.0000
 0 0.01649000 -12.8900 0.0600 90.0000
 0 0.01813990 -12.8900 0.0600 90.0000
 0 0.01825280 -12.8900 0.0600 90.0000
 0 0.01373890 -12.8900 0.0600 90.0000
 0 0.01672040 -12.8900 0.0600 90.0000
 0 0.01963420 -12.8900 0.0600 90.0000
 0 0.01305540 -12.8900 0.0600 90.0000
 0 0.01923670 -12.8900 0.0600 90.0000
 0 0.01425540 -12.8900 0.0600 90.0000
 0 0.01872290 -12.8900 0.0600 90.0000
 0 0.01634570 -12.8900 0.0600 90.0000
 0 0.01502980 -12.8900 0.0600 90.0000
 0 0.01655480 -12.8900 0.0600 90.0000
 0 0.01632630 -12.8900 0.0600 90.0000
 0 0.01893860 -12.8900 0.0600 90.0000
 0 0.01491650 -12.8900 0.0600 90.0000
 0 0.01721160 -12.8900 0.0600 90.0000
 0 0.01634060 -12.8900 0.0600 90.0000
 0 0.01608030 -12.8900 0.0600 90.0000
 0 0.01667010 -12.8900 0.0600 90.0000
 0 0.01879760 -12.8900 0.0600 90.0000
 0 0.01714850 -12.8900 0.0600 90.0000
 0 0.01143610 -12.8900 0.0600 90.0000
