Version: Taxi Continuous/Discontinuous v4.1.9723.39829
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 60000
TimeoutDuration: 3000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.5476
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 

 0 0.01723810 0.0000 -10.1059 0.0004
 0 0.05879240 0.0000 -10.1059 0.0004
 0 0.00819890 0.0000 -10.1059 0.0004
 0 0.03273000 0.0000 -10.1059 0.0004
 0 0.00466560 0.0000 -10.1059 0.0004
 0 0.00277990 0.0000 -10.1059 0.0004
 84 0.00277990 -12.8900 0.0600 90.0000
 0 0.00277990 -12.8900 0.0600 90.0000
 0 0.02000000 -12.8900 0.0600 90.0000
 0 0.00393960 -12.8900 0.0600 90.0000
 0 0.00619620 -12.8900 0.0600 90.0000
 0 0.01662650 -12.8900 0.0600 90.0000
 0 0.01640240 -12.8900 0.0600 90.0000
 0 0.01723620 -12.8900 0.0600 90.0000
 0 0.01648670 -12.8900 0.0600 90.0000
 0 0.01693550 -12.8900 0.0600 90.0000
 0 0.01647350 -12.8900 0.0600 90.0000
 0 0.01697060 -12.8900 0.0600 90.0000
 0 0.01678180 -12.8900 0.0600 90.0000
 0 0.01737280 -12.8900 0.0600 90.0000
 0 0.01601310 -12.8900 0.0600 90.0000
 0 0.01736140 -12.8900 0.0600 90.0000
 0 0.01854680 -12.8900 0.0600 90.0000
 0 0.01583250 -12.8900 0.0600 90.0000
 0 0.01660980 -12.8900 0.0600 90.0000
 0 0.01689110 -12.8900 0.0600 90.0000
 0 0.01684410 -12.8900 0.0600 90.0000
 0 0.01664850 -12.8900 0.0600 90.0000
 0 0.01681360 -12.8900 0.0600 90.0000
 0 0.01678770 -12.8900 0.0600 90.0000
 0 0.02087710 -12.8900 0.0600 90.0000
 0 0.01033390 -12.8900 0.0600 90.0000
 0 0.01883840 -12.8900 0.0600 90.0000
 0 0.01729500 -12.8900 0.0600 90.0000
 0 0.01544980 -12.8900 0.0600 90.0000
 0 0.01715150 -12.8900 0.0600 90.0000
 0 0.01902820 -12.8900 0.0600 90.0000
 0 0.01490570 -12.8900 0.0600 90.0000
 0 0.01912430 -12.8900 0.0600 90.0000
 0 0.01317050 -12.8900 0.0600 90.0000
 0 0.01712150 -12.8900 0.0600 90.0000
 0 0.01633150 -12.8900 0.0600 90.0000
 0 0.01639580 -12.8900 0.0600 90.0000
 0 0.01870110 -12.8900 0.0600 90.0000
 0 0.01798190 -12.8900 0.0600 90.0000
 0 0.01203150 -12.8900 0.0600 90.0000
 0 0.01731520 -12.8900 0.0600 90.0000
 0 0.01578390 -12.8900 0.0600 90.0000
 0 0.01920670 -12.8900 0.0600 90.0000
 0 0.01743700 -12.8900 0.0600 90.0000
 0 0.01780180 -12.8900 0.0600 90.0000
 0 0.01521750 -12.8900 0.0600 90.0000
 0 0.01647280 -12.8900 0.0600 90.0000
 0 0.01440880 -12.8900 0.0600 90.0000
 0 0.01622110 -12.8900 0.0600 90.0000
 0 0.02005130 -12.8900 0.0600 90.0000
 0 0.01612890 -12.8900 0.0600 90.0000
 0 0.01702370 -12.8900 0.0600 90.0000
 0 0.01700860 -12.8900 0.0600 90.0000
 0 0.01579180 -12.8900 0.0600 90.0000
 0 0.01369470 -12.8900 0.0600 90.0000
 11 0.01619980 -12.8900 0.0600 90.0000
 0 0.10062220 -12.8900 0.0600 90.0000
 0 0.01231930 -12.8900 0.0600 90.0000
 0 0.00875500 -12.8900 0.0600 90.0000
 0 0.00287860 -12.8900 0.0600 90.0000
 0 0.00772350 -12.8900 0.0600 90.0000
 0 0.00368030 -12.8900 0.0600 90.0000
 0 0.01475210 -12.8900 0.0600 90.0000
 0 0.01639320 -12.8900 0.0600 90.0000
 0 0.01895130 -12.8900 0.0600 90.0000
 0 0.01576590 -12.8900 0.0600 90.0000
 0 0.01642520 -12.8900 0.0600 90.0000
 0 0.01828400 -12.8900 0.0600 90.0000
 0 0.01778170 -12.8900 0.0600 90.0000
 0 0.02092250 -12.8900 0.0600 90.0000
 0 0.01167700 -12.8900 0.0600 90.0000
 0 0.01695490 -12.8900 0.0600 90.0000
 0 0.01745950 -12.8900 0.0600 90.0000
