Version: Taxi Continuous/Discontinuous v4.1.9723.39829
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
name: Poster
posterPosition: (-7.567, 1.5, 4.975)
CompletionWindow: 60000
TimeoutDuration: 3000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.5476
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 

 0 0.01693570 -8.5513 5.0073 82.6774
 0 0.01642290 -8.5513 5.0073 82.6774
 0 0.01553450 -8.5513 5.0073 82.6774
 0 0.01693520 -8.5513 5.0073 82.6774
 84 0.01693520 -12.8900 0.0600 90.0000
 0 0.01693520 -12.8900 0.0600 90.0000
 0 0.02000000 -12.8900 0.0600 90.0000
 0 0.01585430 -12.8900 0.0600 90.0000
 0 0.01633350 -12.8900 0.0600 90.0000
 0 0.01804690 -12.8900 0.0600 90.0000
 0 0.01559100 -12.8900 0.0600 90.0000
 0 0.01857250 -12.8900 0.0600 90.0000
 0 0.01608960 -12.8900 0.0600 90.0000
 0 0.01498440 -12.8900 0.0600 90.0000
 0 0.01708920 -12.8900 0.0600 90.0000
 0 0.01782650 -12.8900 0.0600 90.0000
 0 0.01605880 -12.8900 0.0600 90.0000
 0 0.01682840 -12.8900 0.0600 90.0000
 0 0.01941990 -12.8900 0.0600 90.0000
 0 0.01746010 -12.8900 0.0600 90.0000
 0 0.01716590 -12.8900 0.0600 90.0000
 0 0.01611160 -12.8900 0.0600 90.0000
 0 0.01685150 -12.8900 0.0600 90.0000
 0 0.01619240 -12.8900 0.0600 90.0000
 0 0.01671910 -12.8900 0.0600 90.0000
 0 0.01616050 -12.8900 0.0600 90.0000
 0 0.03479250 -12.8900 0.0600 90.0000
 0 0.01588090 -12.8900 0.0600 90.0000
 0 0.01697000 -12.8900 0.0600 90.0000
 0 0.01404380 -12.8900 0.0600 90.0000
 0 0.01562410 -12.8900 0.0600 90.0000
 0 0.01517230 -12.8900 0.0600 90.0000
 0 0.01747940 -12.8900 0.0600 90.0000
 0 0.01604820 -12.8900 0.0600 90.0000
